Description,TotalQuantity,TotalRevenue,TotalOrders,AvgMonthlyDemand,ReorderPoint,InventoryStatus
ASSORTED COLOUR SILK COIN PURSE,3551,1667.5900000000001,43,142.04,213.06,High Demand
ASSORTED COLOUR SILK COSMETIC PURSE,1395,1537.5,41,55.8,83.69999999999999,Medium Demand
ASSORTED COLOUR SILK GLASSES CASE,1991,1059.54,47,79.64,119.46000000000001,Medium Demand
ASSORTED COLOUR SUCTION CUP HOOK,369,70.11,29,14.76,22.14,Low Demand
ASSORTED COLOUR T-LIGHT HOLDER,7554,4767.94,221,302.16,453.24,High Demand
ASSORTED COLOURED CIRCLE MOBILE ,65,27.3,7,2.6,3.9000000000000004,Low Demand
ASSORTED COLOURS SILK FAN,41078,28829.32,634,1643.12,2464.68,High Demand
ASSORTED CREEPY CRAWLIES,7844,3251.89,225,313.76,470.64,High Demand
ASSORTED DESIGN FLOWER MUGS,8,6.8,3,0.32,0.48,Low Demand
ASSORTED DESIGN GEISHA GIRL MUGS,5,6.25,1,0.2,0.30000000000000004,Low Demand
ASSORTED EASTER DECORATIONS  BELLS,878,988.0600000000001,27,35.12,52.67999999999999,Medium Demand
ASSORTED EASTER GIFT TAGS,1240,1016.56,62,49.6,74.4,Medium Demand
ASSORTED FARMYARD ANIMALS IN BUCKET,3836,1431.44,38,153.44,230.16,High Demand
ASSORTED FLORAL SECATEURS,3143,1297.65,33,125.72,188.57999999999998,High Demand
"ASSORTED FLOWER COLOUR ""LEIS""",24672,11764.32,258,986.88,1480.32,High Demand
ASSORTED FRAGRANCE BATH CONFETTI,56,23.52,6,2.24,3.3600000000000003,Low Demand
ASSORTED ICE CREAM FRIDGE MAGNETS,2817,1755.81,136,112.68,169.02,High Demand
ASSORTED INCENSE PACK,12137,2213.97,66,485.48,728.22,High Demand
ASSORTED LAQUERED INCENSE HOLDERS,6159,1082.0700000000002,35,246.36,369.54,High Demand
ASSORTED MINI MADRAS NOTEBOOK,1718,1425.1,49,68.72,103.08,Medium Demand
ASSORTED MONKEY SUCTION CUP HOOK,1116,432.72,61,44.64,66.96000000000001,Medium Demand
ASSORTED SANSKRIT MINI NOTEBOOK,1274,1537.78,45,50.96,76.44,Medium Demand
ASSORTED SANTA CHRISTMAS DECORATION,48,40.8,5,1.92,2.88,Low Demand
ASSORTED SHAPED STENCIL FOR HENNA,52,2.08,1,2.08,3.12,Low Demand
ASSORTED SHAPES PHOTO CLIP SILVER ,1099,515.63,27,43.96,65.94,Medium Demand
ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,2044,1724.9199999999998,135,81.76,122.64000000000001,Medium Demand
ASSORTED TUTTI FRUTTI BRACELET,2847,863.39,101,113.88,170.82,High Demand
ASSORTED TUTTI FRUTTI HEART BOX,1025,1281.25,116,41.0,61.5,Medium Demand
ASSORTED TUTTI FRUTTI KEYRING,249,211.64999999999998,13,9.96,14.940000000000001,Low Demand
ASSORTED TUTTI FRUTTI KEYRING BALL,1541,741.1299999999999,48,61.64,92.46000000000001,Medium Demand
ASSORTED TUTTI FRUTTI LARGE PURSE,820,1722.0000000000002,109,32.8,49.199999999999996,Medium Demand
ASSORTED TUTTI FRUTTI MIRROR,1323,1630.95,103,52.92,79.38,Medium Demand
ASSORTED TUTTI FRUTTI NOTEBOOK,1003,2106.3,118,40.12,60.17999999999999,Medium Demand
ASSORTED TUTTI FRUTTI PEN,4225,2277.0899999999997,184,169.0,253.5,High Demand
ASSORTED TUTTI FRUTTI PHOTO FRAME,413,1120.75,23,16.52,24.78,Low Demand
ASSORTED TUTTI FRUTTI ROUND BOX,967,1595.55,114,38.68,58.019999999999996,Medium Demand
ASSORTED TUTTI FRUTTI SMALL PURSE,2646,3184.38,120,105.84,158.76,High Demand
ASSORTED WHITE EMBOSSED CHINA MUGS,680,1320.0,39,27.2,40.8,Medium Demand
ASSTD COL BUTTERFLY/CRYSTAL W/CHIME,477,237.69,16,19.08,28.619999999999997,Low Demand
ASSTD DESIGN 3D PAPER STICKERS,1802,926.88,50,72.08,108.12,Medium Demand
ASSTD DESIGN BUBBLE GUM RING,22470,4634.7,385,898.8,1348.1999999999998,High Demand
ASSTD DESIGN POP ART SLIM PEN,684,581.4,12,27.36,41.04,Medium Demand
ASSTD DESIGN RACING CAR PEN,4325,6696.69,178,173.0,259.5,High Demand
ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,2952,928.32,90,118.08,177.12,High Demand
ASSTD HEARTS DESIGN MUGS,318,536.1,6,12.72,19.080000000000002,Low Demand
ASSTD MULTICOLOUR CIRCLES MUG,1542,770.12,52,61.68,92.52,Medium Demand
ASSTD RASTA KEY-CHAINS,36,15.120000000000001,7,1.44,2.16,Low Demand
Adjustment by Peter on Jun 25 2010 ,3,731.0500000000001,3,0.12,0.18,Low Demand
Adjustment by john on 26/01/2010 16,18,2107.41,18,0.72,1.08,Low Demand
Adjustment by john on 26/01/2010 17,14,1431.1100000000001,14,0.56,0.8400000000000001,Low Demand
BABUSHKA LIGHTS STRING OF 10,1668,10486.14,335,66.72,100.08,Medium Demand
BABY BOOM RIBBONS ,2104,2602.64,295,84.16,126.24,Medium Demand
BABY MOUSE RED GINGHAM DRESS,431,1802.25,123,17.24,25.86,Low Demand
BAG 125g SWIRLY MARBLES,14501,5505.13,452,580.04,870.06,High Demand
BAG 250g SWIRLY MARBLES,16938,12838.08,464,677.52,1016.28,High Demand
BAG 500g SWIRLY MARBLES,2420,2914.56,183,96.8,145.2,Medium Demand
BAG FOR CHILDREN VINTAGE BLUE ,96,408.0,1,3.84,5.76,Low Demand
BAG FOR CHILDREN VINTAGE PINK ,96,408.0,1,3.84,5.76,Low Demand
BAG OF SILVER STONES,147,61.739999999999995,19,5.88,8.82,Low Demand
BAKING MOULD CHOCOLATE CUP CAKES,24,61.2,2,0.96,1.44,Low Demand
BAKING MOULD CHOCOLATE CUPCAKES,955,2460.89,133,38.2,57.300000000000004,Medium Demand
BAKING MOULD CUPCAKE CHOCOLATE,12,30.6,1,0.48,0.72,Low Demand
BAKING MOULD EASTER EGG MILK CHOC,888,2307.6000000000004,91,35.52,53.28,Medium Demand
BAKING MOULD EASTER EGG WHITE CHOC,560,1527.2,69,22.4,33.599999999999994,Medium Demand
BAKING MOULD HEART MILK CHOCOLATE,1132,2715.32,145,45.28,67.92,Medium Demand
BAKING MOULD HEART WHITE CHOCOLATE,881,2068.06,110,35.24,52.86,Medium Demand
BAKING MOULD ROSE MILK CHOCOLATE,754,2191.5,52,30.16,45.24,Medium Demand
BAKING MOULD ROSE WHITE CHOCOLATE,267,796.13,33,10.68,16.02,Low Demand
BAKING MOULD TOFFEE CUP  CHOCOLATE,6,15.3,1,0.24,0.36,Low Demand
BAKING MOULD TOFFEE CUP CHOCOLATE,945,2104.65,63,37.8,56.699999999999996,Medium Demand
BAKING SET 9 PIECE RETROSPOT ,9052,43155.06,1742,362.08,543.12,High Demand
BAKING SET SPACEBOY DESIGN,4303,20335.11,883,172.12,258.18,High Demand
BALLERINA HEART DECORATION.,338,468.4,13,13.52,20.28,Low Demand
BALLOON ART MAKE YOUR OWN FLOWERS,1366,1718.94,129,54.64,81.96000000000001,Medium Demand
BALLOON PUMP WITH 10 BALLOONS,2561,4732.13,262,102.44,153.66,High Demand
BALLOON WATER BOMB PACK OF 35,8449,3288.7799999999997,258,337.96,506.93999999999994,High Demand
BALLOONS  WRITING SET ,1686,2780.5,374,67.44,101.16,Medium Demand
BANK ACCOUNT  GREETING  CARD ,1028,421.68,70,41.12,61.67999999999999,Medium Demand
BANQUET BIRTHDAY  CARD  ,3916,1608.0,261,156.64,234.95999999999998,High Demand
BAROQUE BUTTERFLY EARRINGS BLACK,2,7.5,2,0.08,0.12,Low Demand
BAROQUE BUTTERFLY EARRINGS CRYSTAL,2,7.5,2,0.08,0.12,Low Demand
BAROQUE BUTTERFLY EARRINGS GREEN,2,7.5,2,0.08,0.12,Low Demand
BAROQUE BUTTERFLY EARRINGS MONTANA,3,11.25,3,0.12,0.18,Low Demand
BAROQUE BUTTERFLY EARRINGS PINK,2,7.5,2,0.08,0.12,Low Demand
BAROQUE BUTTERFLY EARRINGS RED,1,3.75,1,0.04,0.06,Low Demand
BASKET OF FLOWERS SEWING KIT,1778,1453.1599999999999,112,71.12,106.68,Medium Demand
BASKET OF TOADSTOOLS,2148,2607.48,162,85.92,128.88,Medium Demand
BASKET/8 SCENTED LOVE TOKEN CANDLES,121,453.75,44,4.84,7.26,Low Demand
BATH BUILDING BLOCK WORD,1599,9501.880000000001,519,63.96,95.94,Medium Demand
BATH DUCK WATERING CAN,832,2016.5200000000002,98,33.28,49.92,Medium Demand
BATHROOM HOOK,140,137.76,21,5.6,8.399999999999999,Low Demand
BATHROOM METAL SIGN,12722,6754.26,927,508.88,763.3199999999999,High Demand
BATHROOM METAL SIGN ,1824,2481.6,226,72.96,109.44,Medium Demand
BATHROOM SCALES FOOTPRINTS IN SAND,97,331.75,42,3.88,5.82,Low Demand
BATHROOM SCALES RUBBER DUCKS,85,291.55,39,3.4,5.1,Low Demand
"BATHROOM SCALES, FAG BREAK",2,7.5,2,0.08,0.12,Low Demand
"BATHROOM SCALES, TROPICAL BEACH",35,131.25,23,1.4,2.0999999999999996,Low Demand
BATHROOM SET LOVE HEART DESIGN,584,1410.8,31,23.36,35.04,Medium Demand
BEACH HUT DESIGN BLACKBOARD,388,1025.0,47,15.52,23.28,Low Demand
BEACH HUT KEY CABINET,361,793.75,54,14.44,21.66,Low Demand
BEACH HUT MIRROR,344,654.54,37,13.76,20.64,Low Demand
BEACH HUT PHOTO FRAME,574,583.1,21,22.96,34.44,Medium Demand
BEACH HUT SHELF W 3 DRAWERS,293,967.35,52,11.72,17.580000000000002,Low Demand
BEADED CHANDELIER T-LIGHT HOLDER,599,1313.29,34,23.96,35.94,Medium Demand
BEADED CRYSTAL HEART BLUE  LARGE,675,749.11,61,27.0,40.5,Medium Demand
BEADED CRYSTAL HEART BLUE ON STICK,309,208.59,26,12.36,18.54,Low Demand
BEADED CRYSTAL HEART BLUE SMALL,399,500.1,48,15.96,23.94,Low Demand
BEADED CRYSTAL HEART GREEN LARGE,875,805.0500000000001,59,35.0,52.5,Medium Demand
BEADED CRYSTAL HEART GREEN ON STICK,331,211.42999999999998,24,13.24,19.86,Low Demand
BEADED CRYSTAL HEART GREEN SMALL,230,283.08,36,9.2,13.799999999999999,Low Demand
BEADED CRYSTAL HEART PINK LARGE,741,835.83,80,29.64,44.46,Medium Demand
BEADED CRYSTAL HEART PINK ON STICK,488,270.94,24,19.52,29.28,Low Demand
BEADED CRYSTAL HEART PINK SMALL,659,855.35,85,26.36,39.54,Medium Demand
BEADED CRYSTAL HEART PINK\ON STICK,16,20.0,8,0.64,0.96,Low Demand
BEADED LOVE HEART JEWELLERY SET,2108,1676.36,75,84.32,126.47999999999999,Medium Demand
BEADED PEARL HEART WHITE LARGE,708,1165.8,74,28.32,42.480000000000004,Medium Demand
BEADED PEARL HEART WHITE ON STICK,1424,1121.68,77,56.96,85.44,Medium Demand
BEAUTY SPEED EXPRESSO CUPS,462,306.9,9,18.48,27.72,Low Demand
BEECH WOOD P/FRAME,5,36.25,2,0.2,0.30000000000000004,Low Demand
BEECH WOOD PHOTO FRAME ,271,338.75,6,10.84,16.259999999999998,Low Demand
BEIGE PHOTO ALBUM,94,201.29999999999998,10,3.76,5.64,Low Demand
BELL HEART ANTIQUE GOLD,12,24.96,1,0.48,0.72,Low Demand
BELL HEART DECORATION,252,387.0,9,10.08,15.120000000000001,Low Demand
BELLE JARDINIERE CUSHION COVER,696,2604.48,175,27.84,41.76,Medium Demand
BENDY COLOUR PENCILS,4,1.68,1,0.16,0.24,Low Demand
BERRIES CHUNKY KNITTED THROW ,5,84.75,4,0.2,0.30000000000000004,Low Demand
BEST DAD CANDLE LETTERS,217,154.20999999999998,27,8.68,13.02,Low Demand
BEWARE OF THE CAT DOORMAT,2,13.5,2,0.08,0.12,Low Demand
BEWARE OF THE CAT METAL SIGN ,9154,14195.14,779,366.16,549.24,High Demand
BICYCLE PUNCTURE REPAIR KIT ,1731,3338.8,103,69.24,103.85999999999999,Medium Demand
BICYCLE SAFTEY WALL ART,458,2371.94,39,18.32,27.48,Low Demand
BIG DOUGHNUT FRIDGE MAGNETS,5852,4893.08,325,234.08,351.12,High Demand
BIG PINK POODLE,28,213.7,4,1.12,1.6800000000000002,Low Demand
BIG POLKADOT MUG,78,128.33999999999997,5,3.12,4.68,Low Demand
BILI NUT AND WOOD NECKLACE,48,48.0,5,1.92,2.88,Low Demand
BINGO SET,3269,12064.95,626,130.76,196.14,High Demand
BIRD BOX CHRISTMAS TREE DECORATION,229,194.65,37,9.16,13.74,Low Demand
BIRD DECORATION GREEN  SPOT,586,498.09999999999997,47,23.44,35.160000000000004,Medium Demand
BIRD DECORATION GREEN POLKADOT,486,413.09999999999997,45,19.44,29.160000000000004,Low Demand
BIRD DECORATION RED RETROSPOT,1158,965.5799999999999,73,46.32,69.48,Medium Demand
BIRD DECORATION RED SPOT,1139,966.5899999999999,84,45.56,68.34,Medium Demand
BIRD HOUSE HOT WATER BOTTLE,1936,4412.51,323,77.44,116.16,Medium Demand
BIRD IN TREE MUG ,4643,504.55,8,185.72,278.58,High Demand
BIRD ON BRANCH CANVAS SCREEN,11,21.45,1,0.44,0.66,Low Demand
BIRDCAGE DECORATION MAGIC GARDEN,21,53.55,3,0.84,1.26,Low Demand
BIRDCAGE DECORATION TEALIGHT HOLDER,954,1145.76,109,38.16,57.239999999999995,Medium Demand
BIRDHOUSE DECORATION MAGIC GARDEN,1621,1926.69,184,64.84,97.26,Medium Demand
BIRDHOUSE GARDEN MARKER ,2546,3348.1,216,101.84,152.76,High Demand
BIRDS MOBILE VINTAGE DESIGN,582,3414.26,169,23.28,34.92,Medium Demand
BIRTHDAY BANNER TAPE,48,60.0,3,1.92,2.88,Low Demand
BIRTHDAY BANQUET GIFT WRAP,2840,1176.8,102,113.6,170.39999999999998,High Demand
"BIRTHDAY CARD, RETRO SPOT",2592,1062.72,168,103.68,155.52,High Demand
BIRTHDAY PARTY CORDON BARRIER TAPE,747,910.02,96,29.88,44.82,Medium Demand
BISCUIT TIN 50'S CHRISTMAS,2060,5795.2,271,82.4,123.60000000000001,Medium Demand
BISCUIT TIN VINTAGE CHRISTMAS,1635,4576.05,232,65.4,98.10000000000001,Medium Demand
BISCUIT TIN VINTAGE GREEN,581,3645.73,161,23.24,34.86,Medium Demand
BISCUIT TIN VINTAGE LEAF,24,64.56,3,0.96,1.44,Low Demand
BISCUIT TIN VINTAGE RED,787,5013.05,212,31.48,47.22,Medium Demand
"BISCUIT TIN, MINT,IVORY, VINTAGE",1,6.75,1,0.04,0.06,Low Demand
"BISCUIT TIN, RED,IVORY, VINTAGE",37,230.55,7,1.48,2.2199999999999998,Low Demand
BISCUITS SMALL BOWL LIGHT BLUE,1267,726.36,130,50.68,76.02,Medium Demand
BLACK 3 BEAD DROP EARRINGS,8,23.6,2,0.32,0.48,Low Demand
BLACK 3 TIER GLASS PLATE STAND,10,127.5,6,0.4,0.6000000000000001,Low Demand
BLACK AND WHITE CAT BOWL,1577,3106.2,82,63.08,94.62,Medium Demand
BLACK AND WHITE DOG BOWL,1386,3140.82,92,55.44,83.16,Medium Demand
BLACK AND WHITE PAISLEY FLOWER MUG,25685,3019.57,18,1027.4,1541.1000000000001,High Demand
BLACK ASSORTED DROPLET DECORATION,59,22.419999999999998,2,2.36,3.54,Low Demand
BLACK BAROQUE CARRIAGE CLOCK,38,358.62,23,1.52,2.2800000000000002,Low Demand
BLACK BAROQUE CUCKOO CLOCK,113,1134.75,41,4.52,6.779999999999999,Low Demand
BLACK BAROQUE WALL CLOCK ,68,639.6,37,2.72,4.08,Low Demand
BLACK BIRD GARDEN DESIGN MUG,6149,934.87,30,245.96,368.94,High Demand
BLACK BOX MIRROR LANTERN,55,268.75,10,2.2,3.3000000000000003,Low Demand
BLACK CANDELABRA T-LIGHT HOLDER,1365,1362.8600000000001,52,54.6,81.9,Medium Demand
BLACK CHAMPAGNE GLASS,1823,1121.97,56,72.92,109.38,Medium Demand
BLACK CHERRY LIGHTS,232,1428.2,48,9.28,13.919999999999998,Low Demand
BLACK CHRISTMAS FLOCK DROPLET ,179,144.07,13,7.16,10.74,Low Demand
BLACK CHRISTMAS TREE 120CM,249,828.5699999999999,38,9.96,14.940000000000001,Low Demand
BLACK CHRISTMAS TREE 60CM,948,823.2,48,37.92,56.88,Medium Demand
BLACK CHUNKY BEAD BRACELET W STRAP,50,447.5,26,2.0,3.0,Low Demand
BLACK CRYSTAL DROP EARRINGS,9,26.550000000000004,4,0.36,0.54,Low Demand
BLACK DIAMANTE EXPANDABLE RING,54,229.5,19,2.16,3.24,Low Demand
BLACK DIAMOND CLUSTER EARRINGS,1,2.55,1,0.04,0.06,Low Demand
BLACK DIAMOND CLUSTER NECKLACE,5,44.75,4,0.2,0.30000000000000004,Low Demand
BLACK DINER WALL CLOCK,357,2952.05,142,14.28,21.419999999999998,Low Demand
BLACK DROP CRYSTAL NECKLACE,13,45.35000000000001,3,0.52,0.78,Low Demand
BLACK DROP EARRINGS W LONG BEADS,2,5.9,2,0.08,0.12,Low Demand
BLACK EAR MUFF HEADPHONES,191,940.85,58,7.64,11.459999999999999,Low Demand
BLACK ENAMEL FLOWER RING,107,315.65000000000003,18,4.28,6.42,Low Demand
BLACK ENCHANTED FOREST PLACEMAT,1305,1997.25,83,52.2,78.30000000000001,Medium Demand
BLACK FACE LAMB WITH PANTS,101,376.59,56,4.04,6.0600000000000005,Low Demand
BLACK FEATHER CHRISTMAS DECORATION,310,58.900000000000006,16,12.4,18.6,Low Demand
BLACK FINE BEAD NECKLACE W TASSEL,11,65.45,7,0.44,0.66,Low Demand
BLACK FLOCK GOLD CANDLE,49,20.580000000000002,4,1.96,2.94,Low Demand
BLACK FLOWER CANDLE PLATE,294,219.66,20,11.76,17.64,Low Demand
BLACK GEMSTONE BRACELET,55,486.24999999999994,20,2.2,3.3000000000000003,Low Demand
BLACK GEMSTONE NECKLACE 45CM,16,204.0,10,0.64,0.96,Low Demand
BLACK GLASS BRACELET W HEART CHARMS,6,29.7,2,0.24,0.36,Low Demand
BLACK GLASS TV DOUBLE P/FRAME 15X10,17,72.25,5,0.68,1.02,Low Demand
BLACK GRAND BAROQUE PHOTO FRAME,717,1408.65,52,28.68,43.019999999999996,Medium Demand
BLACK HEART CARD HOLDER,12382,32379.54,487,495.28,742.92,High Demand
BLACK KITCHEN SCALES,831,6865.93,305,33.24,49.86,Medium Demand
BLACK LOVE BIRD CANDLE,333,356.49,45,13.32,19.98,Low Demand
BLACK LOVE BIRD T-LIGHT HOLDER,374,571.61,21,14.96,22.44,Low Demand
BLACK MEDIUM GLASS CAKE STAND,40,117.44,19,1.6,2.4000000000000004,Low Demand
BLACK METAL BAROQUE PHOTO FRAME,501,798.75,31,20.04,30.06,Medium Demand
BLACK MINI TAPE MEASURE ,829,592.25,63,33.16,49.739999999999995,Medium Demand
BLACK NEW BAROQUE FLOCK BOX,7,41.65,4,0.28,0.42000000000000004,Low Demand
BLACK ORANGE SQUEEZER,219,91.98,31,8.76,13.14,Low Demand
BLACK PHOTO ALBUM ,81,150.6,13,3.24,4.86,Low Demand
BLACK PILLAR CANDLE SILVER FLOCK,612,877.8000000000001,18,24.48,36.72,Medium Demand
BLACK PIRATE TREASURE CHEST,908,1279.32,166,36.32,54.480000000000004,Medium Demand
BLACK RECORD COVER FRAME,19629,67209.44,539,785.16,1177.74,High Demand
BLACK RETRO BAR STOOL,22,830.9,9,0.88,1.32,Low Demand
BLACK RETRODISC LAMPSHADE,977,1905.15,13,39.08,58.62,Medium Demand
"BLACK RND BULLET""KEEP CLEAN"" BIN",1,2.55,1,0.04,0.06,Low Demand
BLACK SIL'T SQU CANDLE PLATE ,40,84.0,7,1.6,2.4000000000000004,Low Demand
BLACK SILOUETTE CANDLE PLATE,513,417.33,43,20.52,30.78,Medium Demand
BLACK SILOUETTE CANDLE PLATE ,120,227.4,14,4.8,7.199999999999999,Low Demand
BLACK SILVER FLOWER T-LIGHT HOLDER,11512,1124.68,19,460.48,690.72,High Demand
BLACK SMALL GLASS CAKE STAND,564,956.64,55,22.56,33.839999999999996,Medium Demand
BLACK SQUARE TABLE CLOCK,207,374.29,26,8.28,12.419999999999998,Low Demand
BLACK STITCHED WALL CLOCK,729,806.23,44,29.16,43.74,Medium Demand
BLACK SWEETHEART BRACELET,144,612.0,45,5.76,8.64,Low Demand
BLACK TEA TOWEL CLASSIC DESIGN,1143,1169.77,166,45.72,68.58,Medium Demand
"BLACK TEA,COFFEE,SUGAR JARS",458,823.9,48,18.32,27.48,Low Demand
BLACK VINT ART DEC CRYSTAL BRACELET,10,67.5,6,0.4,0.6000000000000001,Low Demand
BLACK VINT ART DEC CRYSTAL NECKLACE,15,127.5,9,0.6,0.8999999999999999,Low Demand
BLACK VINTAGE  CRYSTAL EARRINGS,17,63.75,9,0.68,1.02,Low Demand
BLACK VINTAGE EARRINGS,20,75.0,5,0.8,1.2000000000000002,Low Demand
BLACK WINE GLASS,3660,2625.6,67,146.4,219.60000000000002,High Demand
BLACK+WHITE NECKLACE W TASSEL,36,316.2,19,1.44,2.16,Low Demand
BLACK/BLUE DOTS RUFFLED UMBRELLA,2947,12107.050000000001,283,117.88,176.82,High Demand
BLACK/BLUE POLKADOT UMBRELLA,1659,9305.640000000001,357,66.36,99.53999999999999,Medium Demand
BLACK/WHITE GLASS/SILVER BRACELET,45,402.75,17,1.8,2.7,Low Demand
BLACKCHRISTMAS TREE 30CM,19,23.75,6,0.76,1.1400000000000001,Low Demand
BLCK NEW BAROQUE CANDLESTICK CANDLE,180,279.0,17,7.2,10.8,Low Demand
BLING KEY RING STAND,19,22.5,11,0.76,1.1400000000000001,Low Demand
BLOKEY SILVER TOOL SET,31,153.45000000000002,11,1.24,1.8599999999999999,Low Demand
BLOND DOLL DOORSTOP,334,509.58000000000004,26,13.36,20.04,Low Demand
BLOSSOM  IMAGES NOTEBOOK SET,704,940.0,36,28.16,42.24,Medium Demand
BLOSSOM IMAGES GIFT WRAP SET,941,853.8,106,37.64,56.46,Medium Demand
BLOSSOM IMAGES SCRAP BOOK SET,409,603.75,26,16.36,24.54,Low Demand
BLUE  DIAMANTE PEN IN GIFT BOX,327,705.45,43,13.08,19.62,Low Demand
BLUE  SPOTTY  COFFEE MUG,227,443.1,25,9.08,13.620000000000001,Low Demand
BLUE  SPOTTY CUP,3128,2546.48,298,125.12,187.68,High Demand
BLUE  SPOTTY EGG CUP ,922,1097.78,63,36.88,55.32000000000001,Medium Demand
BLUE  SPOTTY PLATE ,2274,3612.66,179,90.96,136.44,Medium Demand
BLUE  SPOTTY PUDDING BOWL,2672,694.08,24,106.88,160.32,High Demand
BLUE  TILE HOOK,190,480.9,30,7.6,11.399999999999999,Low Demand
BLUE  VOILE LAMPSHADE,98,269.90000000000003,14,3.92,5.88,Low Demand
BLUE & WHITE BREAKFAST TRAY,101,387.95000000000005,37,4.04,6.0600000000000005,Low Demand
BLUE 3 PIECE MINI DOTS CUTLERY SET,3825,13823.91,445,153.0,229.5,High Demand
BLUE 3 PIECE POLKADOT CUTLERY SET,2249,8118.110000000001,227,89.96,134.94,Medium Demand
BLUE 5 PATCH FLOWER CUSHION COVER,385,755.75,5,15.4,23.1,Low Demand
BLUE BABY BOY'S MEMORY BOX,5,34.75,4,0.2,0.30000000000000004,Low Demand
BLUE BAROQUE FLOCK CANDLE HOLDER,3,17.85,1,0.12,0.18,Low Demand
BLUE BEADS+HAND PHONE CHARM,2,2.5,2,0.08,0.12,Low Demand
BLUE BIRDHOUSE DECORATION,867,550.41,83,34.68,52.019999999999996,Medium Demand
BLUE BLOSSOM HAIR CLIP,101,106.05,13,4.04,6.0600000000000005,Low Demand
BLUE BREAKFAST CUP AND SAUCER ,1998,344.34000000000003,17,79.92,119.88,Medium Demand
BLUE BUNNY EASTER EGG BASKET,157,230.25,3,6.28,9.42,Low Demand
BLUE BUTTERFLY ON SPRING,68,57.8,7,2.72,4.08,Low Demand
BLUE CALCULATOR RULER,1014,1198.76,130,40.56,60.84,Medium Demand
BLUE CAT BISCUIT BARREL PINK HEART,84,264.0,21,3.36,5.04,Low Demand
BLUE CHALET BIRDFEEDER,273,763.75,20,10.92,16.38,Low Demand
BLUE CHARLIE+LOLA PERSONAL DOORSIGN,1846,1357.06,124,73.84,110.76,Medium Demand
BLUE CHECK BAG W HANDLE 34X20CM,54,75.16000000000001,10,2.16,3.24,Low Demand
BLUE CHENILLE SHAGGY CUSHION COVER ,59,74.35,19,2.36,3.54,Low Demand
BLUE CHERRY BLOSSOM CUP & SAUCER,1122,181.5,3,44.88,67.32000000000001,Medium Demand
BLUE CIRCLES DESIGN MONKEY DOLL,427,599.25,62,17.08,25.619999999999997,Low Demand
BLUE CIRCLES DESIGN TEDDY,101,257.55,36,4.04,6.0600000000000005,Low Demand
BLUE CLIMBING HYDRANGA ART FLOWER,339,547.6500000000001,8,13.56,20.34,Low Demand
BLUE COAT RACK PARIS FASHION,557,2567.79,149,22.28,33.42,Medium Demand
BLUE COL METAL FOLDING CHAIR,7,43.85,4,0.28,0.42000000000000004,Low Demand
BLUE CRUSOE CHECK LAMPSHADE,20,8.4,6,0.8,1.2000000000000002,Low Demand
BLUE CRYSTAL BOOT PHONE CHARM,91,77.35,7,3.64,5.46,Low Demand
BLUE CUSHION COVER WITH FLOWER,254,1365.3,19,10.16,15.24,Low Demand
BLUE DAISY MOBILE,181,172.51,15,7.24,10.86,Low Demand
BLUE DELPHINIUM ARTIFICIAL FLOWER,367,537.3700000000001,19,14.68,22.02,Low Demand
BLUE DINER WALL CLOCK,1391,11511.78,511,55.64,83.46000000000001,Medium Demand
BLUE DISCO HANDBAG,280,419.38,15,11.2,16.799999999999997,Low Demand
BLUE DRAGONFLY HELICOPTER,114,906.3000000000001,76,4.56,6.84,Low Demand
BLUE DRAWER KNOB ACRYLIC EDWARDIAN,1955,2400.43,148,78.2,117.30000000000001,Medium Demand
BLUE DROP EARRINGS W BEAD CLUSTER,2,6.7,1,0.08,0.12,Low Demand
BLUE EASTER EGG HUNT START POST,78,152.1,19,3.12,4.68,Low Demand
BLUE EGG  SPOON,2151,440.58,108,86.04,129.06,Medium Demand
BLUE FAIRY CAKE CHILD'S APRON,991,1792.6499999999999,142,39.64,59.46,Medium Demand
BLUE FAIRY CAKE CHILDRENS APRON,4,7.8,4,0.16,0.24,Low Demand
BLUE FELT EASTER EGG BASKET,1331,2149.35,208,53.24,79.86,Medium Demand
BLUE FELT HANGING HEART W FLOWER,31,26.349999999999998,4,1.24,1.8599999999999999,Low Demand
BLUE FELT HANGING HEART WITH FLOWER,6,5.1,1,0.24,0.36,Low Demand
BLUE FLOCK CUSHION COVER ,10,27.5,3,0.4,0.6000000000000001,Low Demand
BLUE FLOCK GLASS CANDLEHOLDER,1783,737.23,28,71.32,106.97999999999999,Medium Demand
BLUE FLORIBUNDA EGG WARMER,10,12.5,5,0.4,0.6000000000000001,Low Demand
BLUE FLOWER DES PURSE,54,56.16,10,2.16,3.24,Low Demand
BLUE FLOWER T-LIGHT HOLDER,236,169.72,7,9.44,14.16,Low Demand
BLUE FLY SWAT,423,301.41,79,16.92,25.380000000000003,Low Demand
BLUE FLYING SINGING CANARY,328,1172.4,84,13.12,19.68,Low Demand
BLUE GEISHA GIRL ,59,221.25,23,2.36,3.54,Low Demand
BLUE GIANT GARDEN THERMOMETER,481,2838.9700000000003,171,19.24,28.86,Low Demand
BLUE GINGHAM ROSE CUSHION COVER,113,672.35,46,4.52,6.779999999999999,Low Demand
BLUE GINGHAM ROSE FLOOR CUSHION ,27,214.65,13,1.08,1.62,Low Demand
